State,Company,City,Number of Workers,Received Date,Effective Date,Layoff/Closure,Temporary/Permanent,Union,Region,County,Industry,Notes
California,"Borrego Energy, LLC",5005 Texas St. Suite 400 San Diego CA 92108,1,12/13/2022,03/01/2024,Layoff Permanent,,,,San Diego County,,
California,"Doordash, Inc.","303 2nd Street, South Tower, 8th Floor San Francisco CA 94107",311,12/13/2022,03/01/2023,Layoff Permanent,,,,San Francisco County,,
California,Plaid Inc.,1098 Harrison Street San Francisco CA 94103,59,12/13/2022,02/06/2023,Layoff Permanent,,,,San Francisco County,,
California,"Instil Bio, Inc.",1535 Rancho Conejo Blvd Newbury Park CA 91320,63,12/13/2022,02/06/2023,Layoff Permanent,,,,Ventura County,,
California,"Pioneer Hi-Bred International, Inc. (&ldquo;Corteva Agriscience or &ldquo;Corteva&rdquo;)",18285 Country Road 96 Woodland CA 95695,22,12/13/2022,03/05/2023,Closure Permanent,,,,Yolo County,,
California,"Pioneer Hi-Bred International, Inc. (&ldquo;Corteva Agriscience or &ldquo;Corteva&rdquo;)",18285 Country Road 96 Woodland CA 95695,29,12/13/2022,05/28/2023,Closure Permanent,,,,Yolo County,,
California,Festo Corporation,6052 Industrial Way Livermore CA 94551,1,12/12/2022,01/30/2023,Layoff Permanent,,,,Alameda County,,
California,Festo Corporation,550 Commerce Way Livermore CA 94551,16,12/12/2022,01/30/2023,Layoff Permanent,,,,Alameda County,,
California,"Omaze, Inc.",4840 Alla Road Los Angeles CA 90066,103,12/12/2022,02/07/2023,Layoff Permanent,,,,Los Angeles County,,
California,Quanergy,433 Lakeside Dr. Sunnyvale CA 94085,72,12/12/2022,02/07/2023,Layoff Permanent,,,,Santa Clara County,,
California,Thermo Fisher,5781 Van Allen Way Carlsbad CA 92008,9,12/12/2022,11/15/2022,Layoff Permanent,,,,San Diego County,,
California,Thermo Fisher,6190 Cornerstone Court San Diego CA 92121,1,12/12/2022,11/15/2022,Layoff Permanent,,,,San Diego County,,
California,"Medical Device Business Services, Inc.",47709-47733 Fremont Boulevard Fremont CA 94538,2,12/09/2022,02/23/2023,Layoff Permanent,,,,Alameda County,,
California,DePuy Synthes Products Inc.,47709-47733 Fremont Boulevard Fremont CA 94538,9,12/09/2022,02/23/2023,Layoff Permanent,,,,Alameda County,,
California,BloomTech Inc. dba Bloom Institute of Technology,548 Market St. #69148 San Francisco CA 94104,60,12/09/2022,01/31/2023,Layoff Permanent,,,,San Francisco County,,
California,"Happy Money, Inc.","21515 Hawthorne Blvd., Suite 200 Torrance CA 90503",152,12/09/2022,01/30/2023,Layoff Permanent,,,,Los Angeles County,,
California,"Peloton Interactive, Inc.",107 West Colorado Blvd. Pasadena Retail Showroom Pasadena CA 91105,4,12/08/2022,01/31/2023,Closure Permanent,,,,Los Angeles County,,
California,Plenty Unlimited Inc.,590 Eccles Ave. South San Francisco CA 94080,18,12/08/2022,01/31/2023,Closure Permanent,,,,San Mateo County,,
California,"Inscripta, Inc.",5764 Pacific Center Drive San Diego CA 92130,23,12/08/2022,01/31/2023,Closure Permanent,,,,San Diego County,,
California,Bed Bath & Beyond Inc.,5353 Almaden Expressway San Jose CA 95118,36,12/08/2022,03/26/2023,Closure Permanent,,,,Santa Clara County,,
