State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,Sodexo-Northwest Texas Hospital,Amarillo,95,6/25/2019,9/21/2019,,,,Panhandle WDA,Potter,,
Texas,Albertsons #3933,El Paso,90,6/21/2019,8/3/2019,,,,Borderplexjobs WDA,El Paso,,
Texas,Siemens Energy Inc-Houston Service Center,Houston,14,6/14/2019,8/16/2019,,,,Gulf Coast WDA,Harris,,
Texas,Syngenta Crop Protection LLC-GBB Facility,Houston,135,6/10/2019,8/12/2019,,,,Gulf Coast WDA,Harris,,
Texas,"Aprima Medical Software, Inc. an eMD's Co.",Richardson,19,6/4/2019,7/30/2019,,,,Dallas County WDA,Dallas,,
Texas,Hard Rock Café International,Dallas,27,5/31/2019,7/31/2019,,,,Dallas County WDA,Dallas,,
Texas,Holiday Inn-San Antonio,San Antonio,61,5/24/2019,5/25/2019,,,,Alamo WDA,Bexar,,
Texas,Pine Creek Medical Center,Dallas,113,5/20/2019,5/2/2019,,,,Dallas County WDA,Dallas,,
Texas,"United Airlines, Inc.-Passanger Revenue Accounting",Houston,100,5/13/2019,7/15/2019,,,,Gulf Coast WDA,Harris,,
Texas,"Dolce International Fort Worth, Inc.-American Airlines Training Ctr.",Ft. Worth,56,5/13/2019,5/13/2019,,,,Tarrant County WDA,Tarrant,,
Texas,Product & Logistics-Monahans,Monahans,124,5/8/2019,7/6/2019,,,,Permian Basin WDA,Ward,,
Texas,Mitratech Holdings,Austin,83,5/1/2019,7/1/2019,,,,Capital Area WDA,Travis,,
Texas,Falcon Transport Co.-Cedar Hill,Cedar Hill,12,4/30/2019,5/27/2019,,,,Tarrant County WDA,Dallas,,
Texas,Falcon Transport Co.,Hutchins,19,4/30/2019,4/27/2019,,,,Tarrant County WDA,Dallas,,
Texas,"Wise Foods, Inc.",Ft. Worth,80,4/29/2019,6/28/2019,,,,Tarrant County WDA,Tarrant,,
Texas,United Services Automobile Association (USAA),San Antonio,53,4/25/2019,6/24/2019,,,,Alamo WDA,Bexar,,
Texas,Boeing - El Paso,El Paso,2,4/24/2019,6/21/2019,,,,Borderplexjobs WDA,El Paso,,
Texas,"P3I, Inc.",Lackland AFB,85,4/24/2019,5/17/2019,,,,Alamo WDA,Bexar,,
Texas,First Transit-Transit Management of Denton Co.,Denton,160,4/23/2019,6/3/2019,,,,North Central Texas WDA,Denton,,
Texas,Vesuvius USA-Tyler,Tyler,9,4/18/2019,6/23/2019,,,,East Texas WDA,Smith,,
Texas,"Alta Mesa Services, LP",Houston,13,4/9/2019,4/9/2019,,,,Gulf Coast WDA,Harris,,
Texas,Volt Management Corp.,San Antonio,42,4/8/2019,6/7/2019,,,,Alamo WDA,Bexar,,
Texas,Kohler Co.,Brownwood,223,4/8/2019,6/10/2019,,,,West Central WDA,Brown,,
Texas,Aramark-American Airlines,Ft. Worth,70,4/5/2019,6/19/2019,,,,Tarrant County WDA,Tarrant,,
Texas,Aramark-Highway 360,Ft. Worth,12,4/5/2019,6/19/2019,,,,Tarrant County WDA,Tarrant,,
Texas,Aramark-American Blvd,Ft. Worth,6,4/5/2019,6/19/2019,,,,Tarrant County WDA,Tarrant,,
Texas,Aramark-Airport Frwy,Ft. Worth,10,4/5/2019,6/19/2019,,,,Tarrant County WDA,Tarrant,,
Texas,Aramark-John Carpenter Fwy,Ft. Worth,3,4/5/2019,6/19/2019,,,,Tarrant County WDA,Tarrant,,
Texas,Aramark-Amon Carter Blvd,Ft. Worth,19,4/5/2019,6/19/2019,,,,Tarrant County WDA,Tarrant,,
Texas,La Torretta Lake Resort,Montgomery,241,4/4/2019,6/4/2019,,,,Gulf Coast WDA,Montgomery,,
Texas,Sitel-Amarillo,Amarillo,327,4/4/2019,6/28/2019,,,,Panhandle WDA,Potter,,
Texas,Walmart #949,Dallas,415,4/3/2019,6/7/2019,,,,Dallas County WDA,Dallas,,
Texas,Ware Industries dba Marino Ware-Norbet Trucking,Pasadena,69,4/2/2019,6/3/2019,,,,Gulf Coast WDA,Harris,,
Texas,Signet Jewelers-Rombaur Rd.,Dallas,58,4/1/2019,5/31/2019,,,,Dallas County WDA,Dallas,,
Texas,Yodle.com- Yodle Web.com,Austin,10,3/29/2019,6/1/2019,,,,Capital Area WDA,Travis,,
Texas,"Legacy Measurement Solutions, Inc.",Tyler,59,3/29/2019,3/28/2019,,,,East Texas WDA,Smith,,
Texas,Hart-Hanks-Texarkana,Texarkana,73,3/28/2019,5/31/2019,,,,North East Texas WDA,Bowie,,
Texas,"Teleperformance USA-FHCS, Inc.",Dallas,390,3/28/2019,5/31/2019,,,,Dallas County WDA,Dallas,,
Texas,Avella Specialty Pharmacy,Houston,161,3/26/2019,3/1/2019,,,,Gulf Coast WDA,Harris,,
Texas,Avella Specialty Pharmacy-Bissonet,Houston,1,3/26/2019,3/1/2019,,,,Gulf Coast WDA,Harris,,
Texas,Signet Jewelers-Dallas,Dallas,122,3/25/2019,5/24/2019,,,,Dallas County WDA,Dallas,,
Texas,Cypress Fairbanks Medical Center,Houston,586,3/18/2019,5/17/2019,,,,Gulf Coast WDA,Harris,,
Texas,JP Morgan Chase & Co-Consumer Banking & Card,Arlington,368,3/18/2019,3/14/2019,,,,Tarrant County WDA,Tarrant,,
Texas,"Verizon Connect, Inc.",Austin,133,3/7/2019,4/23/2019,,,,Capital Area WDA,Travis,,
Texas,"Aprima Medical Software, Inc. an eMD's Co.",Richardson,149,3/7/2019,5/4/2019,,,,Dallas County WDA,Dallas,,
Texas,General Inoformation Services dba HireRight,Dallas,76,3/7/2019,5/31/2019,,,,Dallas County WDA,Dallas,,
Texas,CHI St. Joseph Health- Bellville Hospital,Bellville,45,3/5/2019,5/7/2019,,,,Gulf Coast WDA,Austin,,
Texas,Monogram Foods-Monogram Pet Treats,Schulenburg,65,3/4/2019,3/4/2019,,,,Rural Capital WDA,Fayette,,
Texas,Magni-Fab,Howe,24,3/4/2019,4/30/2019,,,,Texoma WDA,Grayson,,
Texas,"Natera, Inc.",Austin,92,3/1/2019,4/17/2019,,,,Capital Area WDA,Travis,,
Texas,Magni-Fab Southwest,Howe,5,3/1/2019,4/30/2019,,,,Texoma WDA,Grayson,,
Texas,Petroleum Service Corp.,Mont Belvieu,151,2/27/2019,5/5/2019,,,,Gulf Coast WDA,Chambers,,
